tsne_one,tsne_two,Label
15.23,28.4,Normal
-2.56,-4.72,Normal
-20.21,32.4,Normal
-33.74,-20.62,Normal
-3.04,9.36,Normal
-26.52,-32.02,Normal
5.62,-0.08,Normal
-20.74,-32.39,Normal
-41.13,47.55,Normal
42.06,3.93,Normal
26.88,-37.67,Normal
17.87,15.62,Normal
2.95,-0.21,Exploits
39.86,-17.98,Exploits
-28.12,-14.63,Normal
11.85,-1.64,Normal
7.18,-25.35,Normal
-20.72,-32.36,Normal
20.97,-6.3,Normal
-3.87,21.26,Normal
-36.95,6.68,Normal
15.29,17.87,Normal
-34.27,-10.46,Normal
-15.75,0.86,Normal
11.88,-26.74,Normal
36.57,-14.37,Normal
23.52,5.88,Normal
-28.43,-2.18,Normal
-17.45,-24.08,Normal
-48.45,-9.88,Normal
38.43,-2.99,Normal
32.28,-38.6,Normal
43.04,-13.45,Normal
-30.47,-38.35,Normal
-10.27,10.41,Normal
-7.21,-34.87,Normal
-2.79,24.92,Normal
45.89,1.99,Normal
-7.15,13.88,Normal
-11.97,34.18,Normal
-1.92,-40.97,Normal
-12.7,18.91,Normal
-8.43,-15.05,Normal
6.12,11.16,Normal
22.89,33.07,Normal
-13.35,-37.32,Normal
23.89,-31.75,Normal
-13.53,-29.15,Normal
-16.8,-29.0,Normal
-38.03,24.46,Normal
-17.58,-14.76,Normal
14.31,31.74,Normal
46.39,1.8,Normal
40.77,-10.37,Normal
-47.49,10.11,Normal
20.03,10.0,Normal
-35.26,19.62,Normal
6.46,18.14,Normal
24.74,18.49,Normal
-22.59,1.77,Normal
-18.52,16.79,Normal
-35.16,19.81,Normal
-0.49,4.65,Normal
21.09,-58.41, Reconnaissance 
-12.5,-61.69, Reconnaissance 
-17.82,-15.09, Reconnaissance 
24.76,22.34,Normal
41.1,10.76,Normal
38.78,1.52,Normal
-1.38,-4.79,Normal
26.61,-32.96,Normal
-27.43,4.19,Normal
50.4,-16.71,Normal
1.68,-16.15,Normal
-5.57,37.14,Normal
28.3,-21.5,Normal
1.51,-2.99,Normal
10.53,26.32,Normal
7.61,-46.18,Normal
4.12,-13.86,Normal
-33.63,7.04,Normal
-42.47,-0.21,Normal
20.98,31.57,Normal
1.69,-16.08,Normal
-30.71,27.16,Normal
47.54,-3.03,Normal
-1.54,-12.87,Normal
30.09,-13.09,Normal
14.15,14.1,Normal
-19.71,-19.59,Normal
2.76,-32.28,Normal
-2.81,-6.25,Normal
15.44,7.14,Normal
-12.44,-6.17,Normal
-7.57,22.71,Normal
7.97,29.73,Normal
-5.09,-22.79,Normal
26.99,-27.68,Normal
15.72,-25.79,Normal
25.71,-42.41,Normal
25.12,1.45,Normal
-2.08,-42.36,Normal
33.45,-16.97,Normal
16.64,-35.47,Normal
-25.1,-20.53,Normal
-31.49,-27.77,Normal
-0.43,21.95,Normal
27.01,-32.48,Normal
7.48,29.67,Normal
-34.27,-10.46,Normal
27.83,-13.74,Normal
18.34,-6.41,Normal
-0.01,8.92,Normal
-4.31,9.11,Normal
7.61,-46.18,Normal
-17.1,-26.18,Normal
-10.86,0.87,Normal
-32.69,-21.07,Normal
-11.59,-14.53,Normal
8.62,-24.64,Normal
-12.16,11.96,Normal
-43.98,-8.33,Normal
-1.11,-7.42,Normal
-39.27,9.21,Normal
-1.69,-11.36,Normal
-25.53,30.55,Normal
-39.79,8.99,Normal
-17.91,11.25,Normal
8.49,-46.66,Normal
-30.91,-8.79,Normal
25.78,-6.73,Normal
-14.08,28.51,Normal
18.06,-6.2,Normal
3.73,-29.41,Normal
-18.05,11.29,Normal
27.06,25.66,Normal
8.97,-24.2,Normal
-23.42,-12.39,Normal
-13.25,-30.7,Normal
26.74,-42.11,Normal
-7.31,-39.5,Normal
-23.42,-12.39,Normal
-1.11,-7.42,Normal
-48.99,-24.55,Normal
-37.1,-18.59,Generic
7.67,-49.25,Exploits
16.93,-41.69, Shellcode 
0.61,-5.06,Normal
28.68,-9.95,Normal
-20.86,2.67,Normal
-5.01,5.06,Normal
-6.93,35.89,Normal
-14.34,19.8,Normal
-9.08,15.8,Normal
16.4,38.8,Normal
-32.64,5.99,Normal
33.32,6.7,Normal
44.71,-6.51,Normal
12.3,14.08,Normal
33.79,30.08,Normal
40.21,-23.75,Normal
-27.38,1.94,Normal
1.07,-2.85,Normal
-8.5,-23.47,Normal
36.18,-29.63,Normal
-28.56,6.92,Normal
-1.43,-50.26,Normal
-34.4,21.3,Normal
9.25,-40.99,Normal
-5.97,-28.14,Normal
-16.51,30.6,Normal
15.82,-35.43,Normal
19.65,19.39,Normal
-1.93,-40.97,Normal
0.58,-31.22,Normal
24.19,-31.45,Normal
-3.47,-22.51,Normal
-20.73,19.78,Normal
6.7,-5.15,Normal
2.41,-17.72,Normal
4.03,-16.32,Normal
-3.24,33.23,Normal
-18.26,-1.01,Normal
-44.37,-17.29,Normal
25.82,-6.74,Normal
23.48,-32.08,Normal
18.03,-35.62,Normal
20.03,-24.94,Normal
15.48,-13.59,Normal
3.49,17.68,Normal
21.26,37.42,Normal
24.15,-31.5,Normal
-20.25,40.62,Normal
11.09,27.82,Normal
-12.9,3.47,Normal
15.82,-35.43,Normal
31.06,24.91,Normal
24.62,-4.0,Normal
-45.71,-12.92,Normal
8.55,-28.97,Normal
20.57,6.48,Normal
-24.1,-5.89,Normal
18.37,-28.42,Normal
-41.25,-21.98,Normal
17.97,-18.09,Normal
-23.72,-33.78,Normal
-14.72,-1.87,Normal
-14.07,-32.35,Normal
-29.45,-17.73,Normal
-11.67,8.8,Normal
18.25,-35.62,Normal
-13.56,-33.6,Normal
-27.29,29.99,Normal
-8.55,-27.67,Normal
-6.71,-35.14,Normal
-30.18,23.92,Normal
-41.2,28.58,Exploits
-31.21,30.94,Normal
-2.08,-42.36,Normal
11.06,-17.08,Normal
47.12,-2.3,Normal
-4.64,-28.64,Normal
-33.56,2.08,Normal
-47.38,4.81,Normal
-2.9,24.75,Normal
5.59,5.06,Normal
-0.93,-21.8,Normal
-37.34,16.12,Normal
-7.24,-12.19,Normal
-40.02,14.63,Normal
-4.46,-15.17,Normal
50.7,-16.27,Normal
-25.94,26.54,Normal
-29.68,-4.06,Normal
7.61,-46.18,Normal
7.43,-9.27,Normal
-0.09,-11.71,Exploits
3.87,12.29, Reconnaissance 
6.6,8.24,Generic
25.12,32.54,Normal
-33.88,-0.21,Normal
30.16,13.95,Normal
10.75,-50.65,Normal
-13.0,-21.47,Normal
0.34,-5.09,Normal
-2.65,-20.87,Normal
31.72,-29.23,Normal
-32.96,22.21,Normal
-9.19,11.37,Normal
31.42,-28.16,Normal
-1.91,33.81,Normal
0.9,-32.96,Normal
-6.27,-32.22,Normal
18.76,-25.83,Normal
31.45,-28.27,Normal
28.71,21.36,Normal
-37.17,50.74,Normal
-12.5,-61.69,Normal
21.36,-38.35,Normal
10.88,-48.64,Normal
-32.96,22.21,Normal
-22.4,28.81,Normal
15.04,-8.46,Normal
28.79,30.22,Normal
30.01,-36.27,Normal
-13.31,32.3,Normal
-9.89,32.23,Normal
20.88,31.28,Normal
39.54,-25.06,Normal
-42.14,-7.79,Normal
-23.58,-7.07,Normal
-27.53,-12.74,Normal
11.61,11.72,Normal
12.65,0.56,Normal
36.64,-4.91,Normal
18.39,-28.59,Normal
19.53,-7.66,Normal
-26.99,-17.88,Normal
4.07,13.52,Normal
-29.25,-19.36,Normal
17.14,18.49,Normal
-28.95,-30.06,Normal
33.1,23.69,Normal
16.6,-30.23,Normal
-14.73,-16.57,Normal
24.53,-2.53,Normal
-19.95,-21.18,Normal
21.87,29.36,Normal
-10.67,-9.27,Normal
-28.48,30.29,Normal
9.97,-21.75,Normal
40.12,-12.64,Normal
-20.98,8.73,Normal
-46.51,-12.6,Normal
2.08,-7.05,Normal
-1.44,26.63,Normal
31.92,0.24,Normal
-31.39,-14.5,Normal
-23.75,35.06,Normal
-14.78,10.08,Normal
-32.56,-10.49,Normal
-24.39,-41.83,Normal
25.62,-16.76, Reconnaissance 
3.35,-12.08,Generic
-39.46,12.94, Reconnaissance 
31.48,-0.36,Normal
21.44,-17.54,Normal
23.24,10.55,Normal
4.05,-26.54,Normal
-28.91,19.91,Normal
26.58,-0.01,Normal
8.12,6.86,Normal
-3.08,-28.97,Normal
-26.27,11.31,Normal
24.45,-23.9,Normal
-24.54,5.42,Normal
5.44,29.71,Normal
-24.02,1.34,Normal
41.52,0.37,Normal
14.39,2.81,Normal
-25.45,10.31,Normal
24.09,-23.74,Normal
30.35,33.51,Normal
0.49,-5.07,Normal
-20.6,13.87,Normal
1.29,-40.25,Normal
-26.46,19.63,Normal
36.26,-29.63,Normal
25.43,-11.81,Normal
19.16,17.47,Normal
-3.36,38.99,Normal
14.56,-17.94,Normal
1.29,-40.25,Normal
46.04,-8.44,Normal
-20.21,34.7,Normal
-15.04,1.24,Normal
-15.11,40.02,Normal
-24.13,-16.65,Normal
31.85,-30.06,Normal
-18.03,35.17,Normal
-9.08,38.03,Normal
24.91,32.64,Normal
29.64,-24.3,Normal
9.43,16.16,Normal
-41.06,-13.44,Normal
22.17,9.22,Normal
32.44,-21.37,DoS
-4.56,-14.94,Normal
-13.65,-35.96,Normal
-20.81,9.92,Normal
9.3,18.56,Normal
46.24,-21.19,Normal
11.71,-26.34,Normal
-11.38,-9.88,Normal
-1.96,18.18,Normal
16.58,-8.02,Normal
10.53,-36.04,Normal
-27.26,-20.87,Normal
-1.93,-40.97,Normal
47.06,-20.27,Normal
-20.83,-6.2,Normal
-14.34,13.19,Normal
-24.35,33.46,Normal
-4.38,-11.76,Normal
-31.06,-26.13,Normal
-24.62,-15.35,Normal
-18.88,3.3,Normal
-5.33,11.14,Normal
-1.9,-11.39,Normal
-21.43,-1.05,Normal
11.39,18.53,Normal
-33.09,-36.99,Normal
30.85,33.29,Normal
16.19,11.28,Normal
1.29,-40.25,Generic
15.45,13.65,Normal
-3.03,28.77,Normal
-33.35,27.95,Normal
-42.72,25.24,Normal
9.35,41.18,Normal
-34.41,8.41,Normal
7.76,-24.11,Normal
-10.88,-8.74,Normal
21.36,-38.35,Normal
18.59,-21.6,Normal
-3.03,28.77,Normal
3.69,34.15,Normal
31.82,-6.43,Normal
-41.24,9.1,Normal
-20.18,-27.96,Normal
-10.81,-24.02,Normal
40.37,-11.45,Normal
8.54,0.3,Normal
39.98,0.62,Normal
-0.95,-5.09,Normal
-8.51,-5.64,Normal
18.04,7.96, Reconnaissance 
-10.58,-32.5, Reconnaissance 
29.17,34.11,Normal
9.41,30.43,Normal
-26.98,-24.36,Normal
7.45,12.12,Normal
21.49,0.51,Normal
22.67,-23.93,Normal
-22.83,13.19,Normal
-24.92,8.89,Normal
-0.68,9.55,Normal
-29.14,20.22,Normal
8.48,0.34,Normal
-13.19,14.15,Normal
42.94,-19.17,Normal
-26.11,20.89,Normal
32.79,-15.91,Normal
-14.27,-2.37,Normal
0.17,23.32,Normal
-3.17,28.65,Normal
9.36,20.04,Normal
-13.64,34.59,Normal
29.61,33.86,Normal
1.82,41.16,Normal
-25.12,20.1,Normal
11.7,18.42,Normal
-8.53,-23.28,Normal
5.63,-0.8,Normal
8.61,41.48,Normal
-16.39,-0.76,Normal
-16.37,38.95,Normal
-10.59,10.09,Normal
-33.37,-20.56,Normal
0.51,22.01,Normal
31.01,9.1,Normal
-18.38,28.35,Normal
29.87,17.22,Normal
-10.14,5.58,Normal
3.51,-14.53,Normal
1.02,2.49,Normal
26.47,-37.85, Reconnaissance 
31.81,-8.19,Normal
-28.17,-25.65,Normal
-2.08,-42.36,Normal
11.6,-27.46,Normal
-19.58,11.01,Normal
-6.84,-18.93,Normal
21.71,25.24,Normal
20.85,4.35,Normal
-25.24,-24.05,Normal
-1.42,-39.55,Normal
32.25,-31.94,Normal
47.64,-5.67,Normal
-32.74,6.67,Normal
-1.42,-39.55,Normal
-26.48,-21.15,Normal
-30.85,-39.24,Normal
-6.84,-18.93,Normal
11.99,-32.52,Normal
-23.56,13.52,Normal
-1.42,-39.55,Normal
7.26,-52.45,Normal
20.33,10.11,Normal
-2.7,16.55,Normal
6.25,11.18,Normal
-30.73,-34.1,Normal
1.64,28.5,Normal
-5.84,20.37,Normal
-46.43,10.88,Normal
-12.21,-13.01,Normal
-19.52,4.23,Normal
17.15,-22.73,Normal
-34.43,20.64,Normal
10.89,-48.64,Normal
15.97,-41.33,Normal
-7.86,14.05,Normal
17.12,-9.99,Normal
-12.56,24.46,Normal
-23.68,16.31,Generic
-12.56,24.46,DoS
-12.56,24.46,Generic
-12.56,24.46,Generic
-12.56,24.46,Exploits
-12.56,24.46,Exploits
-12.56,24.46,Generic
-12.56,24.46,Exploits
-48.95,-24.59,Exploits
1.64,28.5,Generic
-4.89,-22.82,Normal
4.54,-5.97,Normal
8.48,-52.12,Normal
-38.34,10.13,Normal
-14.35,18.85,Normal
18.34,-6.41,Normal
13.38,17.01,Normal
-11.13,40.48,Normal
-9.52,11.12,Normal
-38.35,27.91,Normal
31.83,-6.65,Normal
43.04,-18.61,Normal
-43.18,-10.08,Normal
30.45,18.92,Normal
42.06,-3.35,Normal
6.43,-30.34,Normal
-1.55,57.55,Normal
-1.55,57.55,Normal
26.62,-42.14,Normal
37.7,-5.32,Normal
-44.26,4.34,Normal
10.01,5.03,Normal
32.33,-19.27,Normal
33.67,-17.4,Normal
31.36,-33.99,Normal
-4.54,-31.53,Normal
28.11,20.0,Normal
12.84,9.1,Normal
-28.56,6.92,Normal
-2.72,25.13,Normal
-20.33,-23.48,Normal
36.29,13.75,Normal
-22.42,-10.18,Normal
-29.54,34.92,Normal
4.19,-42.77,Normal
5.39,26.56,Normal
-12.09,-27.79,Normal
-19.14,-3.86,Normal
18.98,-2.16,Normal
15.61,-20.61,Normal
12.12,-2.71,Normal
-8.29,28.3,Normal
21.72,10.59,Normal
-30.61,-34.39,Normal
-30.91,-8.79,Normal
-0.68,0.92,Normal
15.62,-13.9,Exploits
-39.81,28.27,Normal
34.48,13.7,Normal
6.51,-30.35,Normal
-28.9,-16.46,Normal
-38.13,-16.56,Normal
-34.01,35.07,Normal
-32.77,17.08,Normal
-10.29,20.1,Normal
-34.67,-40.42,Normal
-20.88,-15.27,Normal
-13.74,-20.34,Normal
31.76,6.17,Normal
-18.86,-10.25,Normal
-28.68,13.48,Normal
25.42,35.78,Normal
14.75,-23.21,Normal
-17.58,-14.76,Normal
-6.75,-16.98,Normal
-33.55,12.76,Normal
43.91,-8.45,Normal
33.5,2.88,Normal
-10.63,-19.07,Normal
-36.46,33.15,Normal
-57.68,-13.07,Normal
6.37,3.6, Reconnaissance 
-27.46,26.58,Normal
-14.85,-18.0,Normal
-3.82,20.99,Normal
-1.42,-39.55,Normal
5.89,9.31,Normal
5.64,-52.57,Normal
-3.32,-27.74,Normal
-7.24,28.5,Normal
42.43,-25.85,Normal
-46.64,13.16,Normal
47.39,-3.89,Normal
43.74,-12.52,Normal
-42.83,16.1,Normal
-39.43,-23.86,Normal
31.83,-6.62,Normal
-4.48,5.16,Normal
-25.79,9.15,Normal
0.02,-51.7,Normal
-13.19,14.15,Normal
23.66,-4.97,Normal
-46.21,-11.41,Normal
27.35,14.23,Normal
19.12,19.33,Normal
3.86,21.03,Normal
49.55,-11.91,Normal
-39.09,-24.29,Normal
4.58,13.75,Normal
33.36,-6.33,Normal
-14.12,28.52,Normal
-31.12,-6.32,Normal
23.86,-31.78,Normal
33.24,-19.59,Normal
33.79,30.08,Normal
23.58,-37.06,Normal
5.81,-38.16,Normal
-16.37,31.67,Normal
26.5,-18.78,Normal
-4.74,-25.96,Normal
-19.02,22.14,Normal
-21.62,29.82,Normal
-10.58,-32.5,Normal
35.29,5.42,Normal
-32.56,-10.49,Normal
11.76,16.64,Normal
-42.51,11.26,Normal
-35.59,21.6, Reconnaissance 
10.21,-13.82,Exploits
-33.56,-12.79,Exploits
-10.28,-18.89,Normal
-7.19,-11.98,Normal
-35.81,-19.84,Normal
25.78,-6.7,Normal
8.18,23.4,Normal
25.78,-6.73,Normal
27.12,-22.91,Normal
-13.47,28.62,Normal
-20.87,7.27,Normal
26.36,3.37,Normal
-36.66,-37.46,Normal
-32.85,-3.24,Normal
-9.28,-12.0,Normal
-41.83,28.29,Normal
12.31,10.34,Normal
-2.98,-31.13,Normal
-15.89,-23.81,Normal
-41.43,28.58,Normal
11.79,18.65,Normal
-14.08,28.51,Normal
-36.46,-30.63,Normal
18.21,-18.48,Normal
8.89,-29.72,Normal
-36.81,31.43,Normal
-40.89,7.72,Normal
4.04,-52.73,Normal
8.48,-52.12,Normal
-27.31,-24.6,Normal
-8.72,-33.81,Normal
-39.99,13.97,Normal
-1.85,-26.21,Normal
-23.9,39.53,Normal
5.22,5.36,Normal
24.42,36.19,Normal
-8.72,-33.81,Normal
47.57,-1.43,Normal
-31.13,3.67,Normal
-0.68,20.55,Normal
10.67,8.24,Normal
25.36,10.67,Normal
31.3,5.89,Normal
-30.95,3.42,Normal
-9.57,21.19,Normal
20.01,-5.55,Normal
5.54,-13.54,Normal
42.34,6.62,Generic
-19.75,35.63,Normal
3.94,43.85,Normal
-37.83,-25.49,Normal
-1.7,12.26,Normal
-42.79,-19.58,Normal
-2.56,-20.66,Normal
44.68,-8.92,Normal
-2.73,-21.06,Normal
11.97,40.21,Normal
-19.1,14.01,Normal
-9.82,37.87,Normal
7.77,-33.48,Normal
-10.37,31.2,Normal
-3.05,-31.31,Normal
21.26,-8.52,Normal
-3.62,5.64,Normal
-19.1,14.01,Normal
-2.12,6.41,Normal
-9.88,32.23,Normal
25.15,-42.56,Normal
-8.72,-33.81,Normal
-7.89,7.19,Normal
4.85,-2.54,Normal
11.67,11.67,Normal
24.59,-2.66,Normal
5.24,-33.78,Normal
4.55,-17.09,Normal
23.14,-11.19,Normal
-24.87,23.33,Normal
16.36,24.46,Normal
-12.14,-1.81,Normal
-3.15,-44.64,Normal
19.74,-12.28,Normal
-19.3,26.31,Normal
22.05,-35.96,Normal
8.27,19.04,Normal
49.02,-11.84,Normal
8.03,24.49,Normal
32.86,-20.59,Normal
28.12,0.53,Normal
46.02,-14.28,Normal
-1.12,18.96,Normal
0.82,-32.98,Normal
-14.9,-13.46,Normal
14.74,31.68,Normal
17.13,1.88,Normal
-32.2,14.23,Normal
19.88,0.62,Normal
32.29,22.26,Exploits
7.43,-30.24,Normal
-10.59,10.08,Normal
25.75,-34.01,Normal
17.4,-5.77,Normal
46.4,-8.35,Normal
