group,variable,value
dwin,proto,-0.198040118
dwin,state,0.101980384
dwin,dur,0.034152069
dwin,sbytes,0.054712239
dwin,dbytes,0.200349
dwin,sttl,-0.39822598
dwin,dttl,0.398869521
dwin,sloss,0.167468571
dwin,dloss,0.258283945
dwin,service,0.10580634
dwin,Sload,-0.418376143
dwin,Dload,0.458963802
dwin,Spkts,0.330897331
dwin,Dpkts,0.309124134
dwin,swin,0.995435615
dwin,dwin,1
dwin,stcpb,0.779145395
dwin,dtcpb,0.779111834
dwin,Sjit,0.083269996
dwin,Djit,0.267491619
dwin,Sintpkt,-0.04246353
dwin,Dintpkt,-0.01703675
dwin,tcprtt,0.134562097
stcpb,proto,-0.154334349
stcpb,state,0.079500255
stcpb,dur,0.025787625
stcpb,sbytes,0.04315725
stcpb,dbytes,0.154294538
stcpb,sttl,-0.310670302
stcpb,dttl,0.311021146
stcpb,sloss,0.131005472
stcpb,dloss,0.199457072
stcpb,service,0.082505941
stcpb,Sload,-0.32603454
stcpb,Dload,0.358459483
stcpb,Spkts,0.257041106
stcpb,Dpkts,0.239176589
stcpb,swin,0.77575645
stcpb,dwin,0.779145395
stcpb,stcpb,1
stcpb,dtcpb,0.687971908
stcpb,Sjit,0.063785271
stcpb,Djit,0.207171636
stcpb,Sintpkt,-0.033137732
stcpb,Dintpkt,-0.01338177
stcpb,tcprtt,0.106399138
dtcpb,proto,-0.154306447
dtcpb,state,0.07921753
dtcpb,dur,0.025963996
dtcpb,sbytes,0.041582791
dtcpb,dbytes,0.156148408
dtcpb,sttl,-0.310927208
dtcpb,dttl,0.309337001
dtcpb,sloss,0.129207671
dtcpb,dloss,0.201230784
dtcpb,service,0.079661771
dtcpb,Sload,-0.32598689
dtcpb,Dload,0.360057121
dtcpb,Spkts,0.256865726
dtcpb,Dpkts,0.240674788
dtcpb,swin,0.775616662
dtcpb,dwin,0.779111834
dtcpb,stcpb,0.687971908
dtcpb,dtcpb,1
dtcpb,Sjit,0.065646315
dtcpb,Djit,0.206784685
dtcpb,Sintpkt,-0.033031776
dtcpb,Dintpkt,-0.012937082
dtcpb,tcprtt,0.106074135
Sjit,proto,-0.02250282
Sjit,state,0.007598631
Sjit,dur,0.125808429
Sjit,sbytes,0.001504944
Sjit,dbytes,0.01790222
Sjit,sttl,0.03882296
Sjit,dttl,0.16721551
Sjit,sloss,0.005635968
Sjit,dloss,0.017005901
Sjit,service,0.026672717
Sjit,Sload,-0.036100591
Sjit,Dload,-0.038520801
Sjit,Spkts,0.011726822
Sjit,Dpkts,0.018103997
Sjit,swin,0.083403133
Sjit,dwin,0.083269996
Sjit,stcpb,0.063785271
Sjit,dtcpb,0.065646315
Sjit,Sjit,1
Sjit,Djit,0.406710421
Sjit,Sintpkt,0.078698197
Sjit,Dintpkt,0.221964214
Sjit,tcprtt,0.139647821
Djit,proto,-0.098229804
Djit,state,0.020038156
Djit,dur,0.188324801
Djit,sbytes,0.001687248
Djit,dbytes,0.156373817
Djit,sttl,-0.125029238
Djit,dttl,0.105171918
Djit,sloss,0.02607235
Djit,dloss,0.154916062
Djit,service,0.255038722
Djit,Sload,-0.117550855
Djit,Dload,-0.114799108
Djit,Spkts,0.104097628
Djit,Dpkts,0.16157285
Djit,swin,0.266232464
Djit,dwin,0.267491619
Djit,stcpb,0.207171636
Djit,dtcpb,0.206784685
Djit,Sjit,0.406710421
Djit,Djit,1
Djit,Sintpkt,0.04830492
Djit,Dintpkt,0.132340232
Djit,tcprtt,0.029426262
Sintpkt,proto,-0.497699634
Sintpkt,state,0.009653811
Sintpkt,dur,0.274902563
Sintpkt,sbytes,-0.002743407
Sintpkt,dbytes,-0.009919317
Sintpkt,sttl,-0.033149236
Sintpkt,dttl,-0.013490053
Sintpkt,sloss,-0.008021456
Sintpkt,dloss,-0.012851454
Sintpkt,service,-0.0391128
Sintpkt,Sload,-0.023283422
Sintpkt,Dload,-0.028730537
Sintpkt,Spkts,-0.016237558
Sintpkt,Dpkts,-0.015345564
Sintpkt,swin,-0.040182217
Sintpkt,dwin,-0.04246353
Sintpkt,stcpb,-0.033137732
Sintpkt,dtcpb,-0.033031776
Sintpkt,Sjit,0.078698197
Sintpkt,Djit,0.04830492
Sintpkt,Sintpkt,1
Sintpkt,Dintpkt,0.500672054
Sintpkt,tcprtt,0.008789458
Dintpkt,proto,-0.368572635
Dintpkt,state,-0.067289299
Dintpkt,dur,0.358853193
Dintpkt,sbytes,-0.000893524
Dintpkt,dbytes,-0.007916396
Dintpkt,sttl,-0.019381244
Dintpkt,dttl,0.022329864
Dintpkt,sloss,-0.004313633
Dintpkt,dloss,-0.009943207
Dintpkt,service,-0.025079535
Dintpkt,Sload,-0.021112627
Dintpkt,Dload,-0.02330386
Dintpkt,Spkts,-0.011171261
Dintpkt,Dpkts,-0.010845309
Dintpkt,swin,-0.017254959
Dintpkt,dwin,-0.01703675
Dintpkt,stcpb,-0.01338177
Dintpkt,dtcpb,-0.012937082
Dintpkt,Sjit,0.221964214
Dintpkt,Djit,0.132340232
Dintpkt,Sintpkt,0.500672054
Dintpkt,Dintpkt,1
Dintpkt,tcprtt,0.024825294
tcprtt,proto,-0.0266971
tcprtt,state,-0.037508072
tcprtt,dur,0.051188171
tcprtt,sbytes,0.021463415
tcprtt,dbytes,-0.014078885
tcprtt,sttl,0.143138705
tcprtt,dttl,0.481862064
tcprtt,sloss,0.018562153
tcprtt,dloss,-0.015829333
tcprtt,service,-0.008455874
tcprtt,Sload,-0.057243638
tcprtt,Dload,-0.059484137
tcprtt,Spkts,-0.005861672
tcprtt,Dpkts,-0.017474506
tcprtt,swin,0.134057722
tcprtt,dwin,0.134562097
tcprtt,stcpb,0.106399138
tcprtt,dtcpb,0.106074135
tcprtt,Sjit,0.139647821
tcprtt,Djit,0.029426262
tcprtt,Sintpkt,0.008789458
tcprtt,Dintpkt,0.024825294
tcprtt,tcprtt,1
