"First_PC,Second_PC,Label"
"0.748,-0.116,0"
"0.719,-0.124,0"
"-0.718,-0.356,0"
"-0.716,-0.355,0"
"-0.716,-0.355,0"
"0.599,-0.101,0"
"0.833,-0.047,0"
"-0.715,-0.355,0"
"0.957,-0.067,0"
"0.746,-0.116,0"
"-0.715,-0.355,0"
"0.641,0.954,1"
"0.781,0.236,1"
"-0.902,0.497,1"
"0.724,-0.074,0"
"0.798,-0.047,0"
"-0.721,-0.354,0"
"1.084,0.02,0"
"0.948,-0.015,0"
"0.757,-0.062,0"
"0.9,-0.031,0"
"0.546,-0.164,0"
"0.783,-0.054,0"
"-0.715,-0.356,0"
"-0.721,-0.354,0"
"1.034,0.006,0"
"0.769,-0.059,0"
"-0.717,-0.356,0"
"0.925,-0.021,0"
"0.961,-0.023,0"
"0.825,-0.103,0"
"-0.719,-0.355,0"
"-0.718,-0.356,0"
"0.954,-0.063,0"
"0.858,-0.074,0"
"-0.716,-0.355,0"
"0.969,-0.048,0"
"-0.722,-0.353,0"
"-0.715,-0.355,0"
"-0.716,-0.355,0"
"0.993,-0.049,0"
"0.743,-0.061,0"
"-0.715,-0.355,0"
"0.747,-0.076,0"
"0.91,-0.04,0"
"0.944,-0.016,0"
"-0.715,-0.355,0"
"0.779,-0.113,0"
"-0.716,-0.355,0"
"0.885,-0.065,0"
"0.963,-0.041,0"
"-0.715,-0.356,0"
"1.125,0.028,0"
"0.663,-0.08,0"
"0.588,-0.151,0"
"-0.715,-0.355,0"
"0.732,-0.079,0"
"-0.716,-0.355,0"
"0.742,-0.103,0"
"1.005,-0.012,0"
"0.811,-0.091,0"
"-0.715,-0.356,0"
"0.791,-0.051,0"
"0.735,-0.063,0"
"0.536,-0.116,0"
"0.988,-0.062,0"
"-0.716,-0.355,0"
"1.015,-0.047,0"
"0.851,-0.084,0"
"-0.715,-0.355,0"
"-0.716,-0.355,0"
"0.879,-0.04,0"
"0.661,-0.133,0"
"0.555,-0.112,0"
"0.517,-0.116,0"
"0.791,-0.051,0"
"0.706,-0.112,0"
"-0.715,-0.356,0"
"0.63,-0.109,0"
"0.981,1.037,1"
"0.57,0.936,1"
"0.845,-0.04,0"
"0.912,-0.03,0"
"-0.721,-0.354,0"
"0.909,-0.025,0"
"0.917,-0.022,0"
"0.761,-0.116,0"
"0.97,-0.066,0"
"-0.716,-0.355,0"
"0.91,-0.028,0"
"-0.718,-0.356,0"
"0.959,-0.057,0"
"0.791,-0.054,0"
"-0.715,-0.356,0"
"-0.716,-0.355,0"
"1.136,-0.033,0"
"-0.716,-0.355,0"
"-0.718,-0.356,0"
"1.099,0.022,0"
"0.897,-0.039,0"
"0.927,-0.039,0"
"0.966,-0.054,0"
"-0.721,-0.354,0"
"0.951,-0.026,0"
"1.07,-0.024,0"
"0.968,-0.055,0"
"0.709,-0.07,0"
"0.689,0.216,1"
"0.66,-0.09,0"
"-0.72,-0.354,0"
"0.954,-0.009,0"
"1.151,-0.003,0"
"0.997,-0.05,0"
"0.526,-0.119,0"
"0.662,-0.084,0"
"0.705,-0.075,0"
"-0.717,-0.356,0"
"0.691,-0.078,0"
"0.794,-0.052,0"
"-0.715,-0.355,0"
"-0.715,-0.356,0"
"0.504,-0.122,0"
"0.932,-0.017,0"
"-0.716,-0.355,0"
"1.106,0.024,0"
"-0.715,-0.355,0"
"0.993,-0.02,0"
"0.826,-0.049,0"
"0.526,-0.129,0"
"-0.715,-0.355,0"
"0.773,0.986,1"
"0.898,-0.029,0"
"0.973,-0.009,0"
"-0.715,-0.355,0"
"-0.716,-0.355,0"
"0.95,-0.05,0"
"-0.715,-0.356,0"
"0.855,-0.038,0"
"-0.716,-0.355,0"
"-0.716,-0.355,0"
"-0.716,-0.355,0"
"0.922,-0.021,0"
"0.614,-0.105,0"
"0.795,-0.105,0"
"0.972,-0.065,0"
"0.725,-0.08,0"
"0.991,-0.06,0"
"0.791,-0.067,0"
"0.68,-0.079,0"
"-0.716,-0.355,0"
"0.548,-0.112,0"
"0.818,-0.095,0"
"0.898,-0.029,0"
"0.537,-0.12,0"
"0.792,-0.101,0"
"0.737,0.228,1"
"-0.901,0.497,1"
"1.03,-0.01,0"
"0.895,-0.035,0"
"0.766,-0.059,0"
"0.981,-0.018,0"
"0.698,-0.081,0"
"-0.716,-0.355,0"
"0.718,-0.128,0"
"0.9,-0.039,0"
"0.78,-0.055,0"
"1.026,0.002,0"
"-0.721,-0.354,0"
"0.795,-0.064,0"
"0.892,-0.029,0"
"0.819,-0.06,0"
"1.008,-0.012,0"
"-0.718,-0.356,0"
"0.873,-0.081,0"
"-0.718,-0.356,0"
"0.955,-0.009,0"
"0.734,-0.065,0"
"0.629,-0.093,0"
"-0.721,-0.353,0"
"0.698,-0.111,0"
"0.866,-0.035,0"
"0.988,-0.011,0"
"-0.715,-0.355,0"
"0.987,-0.031,0"
"-0.719,-0.355,0"
"-0.721,-0.354,0"
"1.094,0.018,0"
"-0.716,-0.355,0"
"0.723,-0.082,0"
"-0.717,-0.356,0"
"0.762,-0.059,0"
"0.813,-0.049,0"
"-0.721,-0.354,0"
"1.15,0.026,0"
"1.094,-0.004,0"
"0.93,-0.017,0"
"-0.716,-0.355,0"
"0.973,-0.053,0"
"0.867,-0.033,0"
"-0.715,-0.356,0"
"0.917,-0.033,0"
"-0.715,-0.355,0"
"1.089,0.014,0"
"0.928,-0.019,0"
"1.146,0.011,0"
"0.892,-0.024,0"
"0.95,-0.014,0"
"-0.716,-0.355,0"
"-0.901,0.497,1"
"-0.715,-0.355,0"
"0.863,-0.056,0"
"0.892,-0.033,0"
"0.943,-0.014,0"
"0.834,-0.048,0"
"-0.715,-0.355,0"
"0.846,-0.053,0"
"0.582,-0.124,0"
"-0.715,-0.355,0"
"-0.715,-0.355,0"
"0.807,-0.048,0"
"0.554,-0.139,0"
"0.547,-0.142,0"
"0.983,-0.01,0"
"0.718,-0.09,0"
"0.709,-0.09,0"
"0.695,-0.099,0"
"0.957,-0.013,0"
"1.12,0.027,0"
"0.921,-0.028,0"
"0.554,-0.131,0"
"-0.715,-0.355,0"
"0.747,-0.085,0"
"0.86,-0.043,0"
"0.754,0.982,1"
"0.805,0.245,1"
"0.811,-0.053,0"
"0.803,-0.046,0"
"0.86,-0.071,0"
"-0.716,-0.355,0"
"0.713,-0.073,0"
"-0.715,-0.355,0"
"0.866,-0.067,0"
"0.689,-0.104,0"
"0.657,-0.106,0"
"-0.721,-0.354,0"
"-0.717,-0.356,0"
"0.918,-0.025,0"
"0.667,-0.084,0"
"-0.721,-0.354,0"
"0.958,-0.025,0"
"-0.716,-0.355,0"
"0.621,-0.099,0"
"0.804,-0.075,0"
"0.965,-0.012,0"
"1.086,0.02,0"
"0.757,-0.057,0"
"0.74,-0.066,0"
"-0.718,-0.356,0"
"0.605,-0.112,0"
"0.941,-0.042,0"
"0.989,-0.014,0"
"-0.715,-0.355,0"
"0.916,-0.049,0"
"-0.721,-0.354,0"
"0.749,-0.064,0"
"0.917,-0.024,0"
"-0.715,-0.356,0"
"-0.717,-0.356,0"
"0.947,-0.045,0"
"0.946,-0.043,0"
"-0.719,-0.355,0"
"0.867,-0.058,0"
"-0.721,-0.354,0"
"0.713,-0.103,0"
"0.738,-0.078,0"
"0.909,-0.053,0"
"0.74,-0.062,0"
"0.909,-0.052,0"
"0.759,-0.067,0"
"-0.693,-0.47,0"
"1.019,-0.018,0"
"1.03,0.009,0"
"0.876,0.262,1"
"0.911,1.015,1"
"-0.719,-0.355,0"
"0.95,-0.039,0"
"1.158,0.007,0"
"0.902,-0.083,0"
"0.757,-0.066,0"
"1.081,0.016,0"
"-0.721,-0.353,0"
"0.695,-0.077,0"
"0.867,-0.035,0"
"-0.715,-0.355,0"
"0.895,-0.025,0"
"0.845,-0.048,0"
"0.725,-0.112,0"
"1.093,0.025,0"
"0.722,-0.075,0"
"0.788,-0.076,0"
"1.139,0.037,0"
"-0.72,-0.354,0"
"-0.717,-0.356,0"
"-0.717,-0.354,0"
"-0.715,-0.356,0"
"-0.716,-0.355,0"
"-0.716,-0.355,0"
"-0.716,-0.355,0"
"0.761,-0.111,0"
"0.954,-0.076,0"
"0.673,-0.136,0"
"-0.715,-0.355,0"
"0.917,-0.031,0"
"0.786,-0.055,0"
"0.78,-0.063,0"
"-0.716,-0.355,0"
"0.967,-0.006,0"
"-0.722,-0.352,0"
"0.968,-0.01,0"
"-0.716,-0.355,0"
"0.517,-0.116,0"
"-0.716,-0.355,0"
"-0.716,-0.355,0"
"0.748,-0.102,0"
"0.696,-0.077,0"
"0.633,-0.158,0"
"0.751,-0.064,0"
"0.589,-0.107,0"
"-0.722,-0.352,0"
"0.823,-0.049,0"
"1.0,-0.057,0"
"0.982,-0.074,0"
"0.606,-0.118,0"
"0.873,1.011,1"
"-0.901,0.497,1"
"-0.901,0.497,1"
"-0.716,-0.355,0"
"0.855,-0.072,0"
"1.057,-0.053,0"
"0.724,-0.07,0"
"-0.721,-0.354,0"
"-0.718,-0.356,0"
"0.941,-0.017,0"
"-0.718,-0.356,0"
"0.858,0.916,0"
"0.651,-0.084,0"
"0.812,-0.06,0"
"0.62,0.857,0"
"0.855,-0.047,0"
"-0.716,-0.355,0"
"0.718,0.882,0"
"0.705,-0.075,0"
"0.713,-0.085,0"
"-0.716,-0.355,0"
"0.855,0.915,0"
"0.545,0.839,0"
"0.567,0.845,0"
"0.8,0.902,0"
"0.579,0.848,0"
"0.76,-0.061,0"
"-0.716,-0.355,0"
"0.896,-0.093,0"
"-0.721,-0.354,0"
"0.517,0.832,0"
"0.648,0.864,0"
"-0.715,-0.355,0"
"-0.716,-0.355,0"
"0.86,-0.036,0"
"-0.722,-0.352,0"
"1.112,-0.031,0"
"-0.718,-0.356,0"
"1.151,-0.024,0"
"-0.715,-0.355,0"
"1.014,0.001,0"
"-0.722,-0.352,0"
"0.989,-0.057,0"
"0.732,-0.063,0"
"0.932,-0.023,0"
"-0.718,-0.356,0"
"-0.716,-0.355,0"
"-0.715,-0.355,0"
"0.796,-0.052,0"
"-0.721,-0.354,0"
"-0.721,-0.354,0"
"0.893,-0.04,0"
"-0.716,-0.355,0"
"0.809,-0.093,0"
"0.994,-0.059,0"
"0.739,-0.077,0"
"0.959,-0.016,0"
"0.895,-0.075,0"
"1.027,-0.04,0"
"0.715,-0.072,0"
"0.797,-0.052,0"
"0.605,-0.155,0"
"0.919,-0.017,0"
"0.515,-0.125,0"
"0.605,-0.155,0"
"1.03,-0.051,0"
"-0.716,-0.355,0"
"-0.715,-0.355,0"
"-0.722,-0.352,0"
"-0.722,-0.353,0"
"-0.721,-0.354,0"
"0.833,-0.039,0"
"1.031,-0.051,0"
"-0.716,-0.355,0"
"0.858,-0.048,0"
"0.767,-0.095,0"
"0.969,-0.01,0"
"-0.718,-0.356,0"
"1.045,-0.052,0"
"0.767,-0.095,0"
"0.797,-0.052,0"
"-0.902,0.497,1"
"0.79,0.241,1"
"-0.901,0.497,1"
"0.783,-0.064,0"
"-0.721,-0.354,0"
"-0.721,-0.354,0"
"0.959,-0.024,0"
"0.956,-0.013,0"
"0.665,-0.088,0"
"0.959,-0.069,0"
"0.897,-0.027,0"
"-0.716,-0.355,0"
"0.707,-0.074,0"
"0.73,-0.066,0"
"0.692,-0.073,0"
"0.814,-0.104,0"
"-0.716,-0.355,0"
"-0.717,-0.356,0"
"0.995,-0.059,0"
"0.756,-0.061,0"
"0.742,-0.066,0"
"-0.718,-0.356,0"
"-0.715,-0.355,0"
"-0.715,-0.355,0"
"0.58,-0.101,0"
"0.8,-0.094,0"
"0.795,-0.109,0"
"0.669,-0.14,0"
"-0.722,-0.352,0"
"0.821,-0.044,0"
"-0.715,-0.355,0"
"0.835,-0.047,0"
"-0.722,-0.352,0"
"0.853,-0.034,0"
"0.681,-0.079,0"
"1.002,0.003,0"
"0.914,-0.07,0"
"0.88,-0.043,0"
"0.644,-0.09,0"
"0.968,-0.075,0"
"-0.715,-0.355,0"
"-0.722,-0.352,0"
"-0.722,-0.352,0"
"-0.722,-0.352,0"
"0.806,-0.045,0"
"1.092,-0.005,0"
"-0.715,-0.356,0"
"-0.716,-0.355,0"
"-0.722,-0.352,0"
"0.676,-0.088,0"
"0.844,-0.041,0"
"0.899,-0.027,0"
"-0.722,-0.352,0"
"-0.716,-0.355,0"
"1.079,0.022,0"
"1.205,-0.016,0"
"0.842,-0.052,0"
"1.148,-0.0,0"
"0.925,-0.031,0"
"1.043,0.013,0"
"-0.715,-0.355,0"
"0.878,-0.097,0"
"0.754,-0.069,0"
"0.894,-0.023,0"
"1.032,-0.059,0"
"0.942,-0.02,0"
"-0.716,-0.355,0"
"-0.722,-0.352,0"
"1.033,-0.058,0"
"0.526,-0.14,0"
"0.853,-0.038,0"
"-0.716,-0.355,0"
"0.663,0.206,1"
"0.519,-0.117,0"
"0.69,-0.083,0"
"-0.715,-0.355,0"
"0.87,-0.038,0"
"0.765,-0.12,0"
"0.795,-0.107,0"
"-0.715,-0.355,0"
"0.554,-0.107,0"
"-0.716,-0.355,0"
"0.933,-0.074,0"
"0.971,-0.004,0"
"0.636,-0.149,0"
"0.79,-0.054,0"
"0.585,-0.148,0"
"-0.721,-0.354,0"
"-0.718,-0.356,0"
"0.641,-0.125,0"
"0.77,-0.115,0"
"-0.716,-0.355,0"
"0.878,0.259,1"
"0.822,0.998,1"
"0.946,0.276,1"
"0.773,-0.058,0"
"-0.716,-0.355,0"
"-0.715,-0.355,0"
"0.841,-0.076,0"
"-0.715,-0.355,0"
"0.736,-0.067,0"
"-0.721,-0.354,0"
"0.947,-0.097,0"
"1.029,0.002,0"
"0.591,-0.103,0"
"-0.716,-0.355,0"
"1.046,-0.011,0"
"0.698,-0.133,0"
"0.851,-0.047,0"
"0.859,-0.045,0"
"0.825,-0.057,0"
"1.029,0.001,0"
"0.861,-0.092,0"
"-0.693,-0.469,0"
"-0.747,-0.233,0"
"-0.718,-0.356,0"
"-0.716,-0.355,0"
"0.591,-0.103,0"
"0.704,-0.081,0"
"1.075,0.006,0"
"-0.716,-0.355,0"
"1.044,-0.004,0"
"0.623,-0.095,0"
"0.628,-0.094,0"
"-0.716,-0.355,0"
"-0.717,-0.356,0"
"0.715,-0.077,0"
"0.926,-0.028,0"
"0.928,-0.02,0"
"0.895,-0.028,0"
"1.125,0.017,0"
"-0.721,-0.354,0"
"1.048,0.008,0"
"1.089,0.007,0"
"0.937,-0.021,0"
"0.876,-0.033,0"
"0.933,-0.021,0"
"0.829,-0.044,0"
"0.737,-0.063,0"
"-0.716,-0.355,0"
"1.068,0.007,0"
"0.779,-0.062,0"
"1.087,0.021,0"
"-0.716,-0.355,0"
"-0.716,-0.355,0"
"0.787,-0.053,0"
"0.552,-0.146,0"
"0.908,-0.081,0"
"0.706,-0.092,0"
"1.025,-0.052,0"
"1.186,-0.001,0"
"0.812,-0.056,0"
"-0.716,-0.355,0"
"0.654,-0.087,0"
"1.188,-0.012,0"
"0.542,-0.148,0"
"1.038,-0.052,0"
"-0.715,-0.355,0"
"-0.901,0.497,1"
"0.829,0.248,1"
"0.793,0.986,1"
"0.548,-0.113,0"
"0.663,-0.085,0"
"0.844,-0.039,0"
"0.797,-0.105,0"
"0.847,-0.04,0"
"0.569,-0.111,0"
"0.715,-0.071,0"
"0.827,-0.101,0"
"0.79,-0.101,0"
"0.964,-0.052,0"
"0.863,-0.092,0"
"0.985,-0.057,0"
"-0.716,-0.355,0"
"1.01,-0.066,0"
"0.713,-0.071,0"
"0.845,-0.105,0"
"0.981,-0.063,0"
"0.867,-0.094,0"
"-0.716,-0.355,0"
"-0.721,-0.354,0"
"0.931,-0.025,0"
"-0.716,-0.355,0"
"0.596,-0.1,0"
"-0.718,-0.356,0"
"0.804,-0.056,0"
"0.831,-0.055,0"
"0.668,-0.1,0"
"1.084,-0.001,0"
"-0.716,-0.355,0"
"0.698,-0.074,0"
"0.685,-0.085,0"
"0.956,-0.067,0"
"0.671,-0.084,0"
"0.942,-0.014,0"
"1.028,0.001,0"
"0.677,-0.083,0"
"0.656,-0.082,0"
"-0.716,-0.355,0"
"1.019,-0.002,0"
"0.887,-0.038,0"
"0.728,-0.081,0"
"0.664,0.955,1"
"1.01,0.004,0"
"-0.721,-0.354,0"
"1.019,-0.045,0"
"1.027,-0.052,0"
"0.898,-0.025,0"
"-0.718,-0.356,0"
"0.884,-0.088,0"
"0.781,-0.061,0"
"0.92,-0.017,0"
"1.086,0.007,0"
"-0.695,-0.474,0"
"0.945,-0.026,0"
"-0.715,-0.355,0"
"-0.718,-0.356,0"
"0.97,-0.019,0"
"-0.715,-0.355,0"
"0.554,-0.166,0"
"-0.721,-0.354,0"
"0.739,-0.065,0"
"0.954,-0.025,0"
"0.956,-0.009,0"
"0.959,-0.037,0"
"0.932,-0.019,0"
"0.922,-0.038,0"
"0.88,-0.04,0"
"-0.715,-0.356,0"
"-0.716,-0.355,0"
"0.816,0.248,1"
"-0.716,-0.355,0"
"0.772,-0.077,0"
"-0.715,-0.355,0"
"0.688,-0.087,0"
"0.549,-0.134,0"
"-0.716,-0.355,0"
"0.694,-0.074,0"
"0.863,-0.053,0"
"0.791,-0.053,0"
"-0.718,-0.356,0"
"0.821,-0.046,0"
"-0.715,-0.355,0"
"-0.716,-0.355,0"
"0.682,-0.086,0"
"0.553,-0.112,0"
"0.762,-0.059,0"
"0.745,-0.076,0"
"0.705,-0.09,0"
"0.894,-0.048,0"
"0.716,-0.071,0"
"-0.721,-0.354,0"
"0.756,0.982,1"
"0.554,0.932,1"
"-0.716,-0.355,0"
"-0.716,-0.355,0"
"-0.716,-0.355,0"
"-0.715,-0.356,0"
"0.779,-0.073,0"
"0.76,-0.061,0"
"0.806,-0.048,0"
"0.952,-0.048,0"
"0.93,-0.022,0"
"-0.721,-0.354,0"
"0.567,-0.108,0"
"0.871,-0.032,0"
"-0.715,-0.355,0"
"-0.718,-0.356,0"
"0.604,-0.1,0"
"1.004,0.002,0"
"0.892,-0.028,0"
"0.939,-0.039,0"
"-0.715,-0.355,0"
"0.916,-0.039,0"
"0.623,-0.095,0"
"-0.716,-0.355,0"
"-0.716,-0.355,0"
"0.618,-0.095,0"
"0.871,-0.034,0"
"0.738,-0.065,0"
"0.877,-0.029,0"
"-0.716,-0.355,0"
"0.911,-0.035,0"
"0.677,-0.081,0"
"-0.716,-0.355,0"
"0.739,-0.078,0"
"0.94,-0.038,0"
"0.806,-0.056,0"
"0.614,-0.097,0"
"0.815,-0.053,0"
"0.912,-0.046,0"
"0.879,-0.032,0"
"0.741,0.973,1"
"1.052,0.005,0"
"0.688,-0.085,0"
"-0.715,-0.356,0"
"-0.715,-0.355,0"
"0.826,-0.044,0"
"0.987,-0.012,0"
"-0.715,-0.355,0"
"0.858,-0.037,0"
"1.116,0.014,0"
"-0.715,-0.356,0"
"-0.715,-0.355,0"
"1.027,0.006,0"
"0.732,-0.099,0"
"0.727,-0.095,0"
"-0.715,-0.355,0"
"0.951,-0.03,0"
"-0.715,-0.356,0"
"-0.715,-0.355,0"
"0.837,-0.055,0"
"0.915,-0.02,0"
"-0.715,-0.355,0"
"-0.715,-0.355,0"
"0.775,-0.086,0"
"0.922,-0.016,0"
"0.788,-0.078,0"
"-0.715,-0.356,0"
"-0.716,-0.355,0"
"-0.715,-0.355,0"
"0.595,-0.129,0"
"0.95,-0.014,0"
"0.968,-0.01,0"
"0.823,-0.046,0"
"0.608,-0.123,0"
"-0.716,-0.355,0"
"0.786,-0.075,0"
"0.924,-0.054,0"
"1.067,0.019,0"
"-0.661,-0.043,1"
"0.59,0.936,1"
"-0.659,-0.043,1"
"-0.659,-0.043,1"
"-0.661,-0.043,1"
"-0.659,-0.043,1"
"-0.659,-0.043,1"
"-0.659,-0.043,1"
"-0.659,-0.043,1"
"-0.902,0.497,1"
"-0.716,-0.355,0"
"0.86,-0.042,0"
"0.892,-0.047,0"
"-0.715,-0.355,0"
"0.552,-0.112,0"
"0.906,-0.025,0"
"-0.721,-0.354,0"
"0.893,-0.057,0"
"0.671,-0.089,0"
"-0.716,-0.355,0"
"0.524,-0.119,0"
"0.675,-0.084,0"
"-0.718,-0.356,0"
"0.722,-0.081,0"
"0.829,-0.072,0"
"1.028,-0.023,0"
"0.837,-0.044,0"
"-0.699,-0.383,0"
"-0.699,-0.383,0"
"-0.718,-0.356,0"
"-0.721,-0.354,0"
"0.561,-0.11,0"
"0.778,-0.056,0"
"1.018,-0.004,0"
"1.02,-0.008,0"
"1.045,-0.008,0"
"0.861,-0.057,0"
"0.83,-0.07,0"
"0.907,-0.04,0"
"-0.715,-0.355,0"
"-0.716,-0.355,0"
"-0.716,-0.355,0"
"0.99,-0.005,0"
"0.963,-0.028,0"
"0.674,-0.083,0"
"-0.716,-0.355,0"
"0.923,-0.025,0"
"0.96,-0.012,0"
"0.959,-0.016,0"
"0.788,-0.054,0"
"1.084,-0.009,0"
"1.136,0.019,0"
"0.634,-0.092,0"
"0.757,-0.068,0"
"-0.715,-0.356,0"
"-0.715,-0.355,0"
"0.734,0.972,1"
"1.071,0.015,0"
"0.55,-0.142,0"
"0.985,-0.006,0"
"0.838,-0.044,0"
"0.933,-0.019,0"
"0.726,-0.07,0"
"0.513,-0.125,0"
"0.7,-0.089,0"
"-0.715,-0.355,0"
"-0.715,-0.356,0"
"0.741,-0.07,0"
"0.752,-0.085,0"
"0.764,-0.093,0"
"1.141,0.029,0"
"-0.715,-0.355,0"
"-0.716,-0.355,0"
"0.831,-0.054,0"
"-0.716,-0.355,0"
"-0.715,-0.355,0"
"0.71,-0.091,0"
"0.706,-0.085,0"
"0.68,-0.104,0"
"0.956,-0.018,0"
"0.52,-0.128,0"
"-0.901,0.497,1"
"0.88,-0.032,0"
"0.612,-0.116,0"
"0.78,-0.056,0"
"-0.721,-0.353,0"
"-0.715,-0.355,0"
"0.782,-0.062,0"
"-0.715,-0.355,0"
"0.772,-0.088,0"
"0.678,-0.129,0"
"-0.719,-0.355,0"
"0.588,-0.108,0"
"0.698,-0.072,0"
"-0.717,-0.354,0"
"0.605,-0.128,0"
"-0.715,-0.355,0"
"0.674,-0.083,0"
"1.019,-0.059,0"
"0.936,-0.03,0"
"-0.715,-0.355,0"
"-0.715,-0.355,0"
"1.106,0.006,0"
"1.146,0.034,0"
"0.99,-0.011,0"
"0.816,-0.043,0"
"-0.715,-0.356,0"
"-0.718,-0.356,0"
"-0.715,-0.355,0"
"0.941,-0.081,0"
"0.676,-0.081,0"
"-0.722,-0.353,0"
"-0.715,-0.355,0"
"-0.722,-0.352,0"
"1.035,-0.017,0"
"-0.716,-0.355,0"
"1.092,-0.032,0"
"0.757,-0.062,0"
"0.618,-0.096,0"
"0.798,-0.051,0"
"0.844,-0.036,0"
"-0.722,-0.353,0"
"0.737,-0.118,0"
"-0.716,-0.355,0"
"0.732,-0.068,0"
"-0.715,-0.355,0"
"0.878,-0.044,0"
"0.457,0.909,1"
"0.495,0.918,1"
"0.936,0.273,1"
"1.148,0.022,0"
"0.965,-0.025,0"
"0.814,-0.077,0"
"0.742,-0.07,0"
"-0.722,-0.352,0"
"0.898,-0.022,0"
"-0.722,-0.352,0"
"0.808,-0.049,0"
"-0.722,-0.353,0"
"0.977,-0.019,0"
"1.135,-0.01,0"
"-0.715,-0.356,0"
"-0.715,-0.355,0"
"0.776,-0.053,0"
"0.564,-0.149,0"
"0.91,-0.03,0"
"0.847,-0.04,0"
"0.791,-0.077,0"
"0.571,-0.155,0"
"0.871,-0.034,0"
"-0.722,-0.353,0"
"-0.715,-0.356,0"
"0.818,-0.047,0"
"0.836,-0.042,0"
"0.53,-0.123,0"
"0.592,-0.144,0"
"-0.715,-0.355,0"
"-0.715,-0.355,0"
"-0.715,-0.356,0"
"-0.716,-0.355,0"
"0.547,-0.117,0"
"-0.715,-0.355,0"
"0.658,-0.082,0"
"0.915,-0.061,0"
"-0.716,-0.355,0"
"-0.716,-0.355,0"
"0.71,-0.074,0"
"0.728,-0.088,0"
"0.948,-0.036,0"
"0.894,-0.028,0"
"0.758,-0.07,0"
"0.749,-0.072,0"
"0.753,-0.106,0"
"-0.715,-0.355,0"
"1.084,0.018,0"
"0.759,0.976,1"
"0.999,-0.003,0"
"0.688,-0.089,0"
"-0.716,-0.355,0"
"-0.715,-0.355,0"
"0.891,-0.029,0"
"-0.715,-0.355,0"
"0.905,-0.07,0"
"0.701,-0.076,0"
"0.903,-0.07,0"
"-0.716,-0.355,0"
"0.926,-0.024,0"
"0.709,-0.121,0"
"0.872,-0.082,0"
"0.643,-0.109,0"
"0.848,-0.044,0"
"-0.721,-0.354,0"
"0.957,-0.012,0"
"0.926,-0.024,0"
"0.969,-0.011,0"
"0.656,-0.119,0"
"-0.718,-0.356,0"
"-0.716,-0.355,0"
"0.896,-0.038,0"
"0.909,-0.055,0"
"0.961,-0.076,0"
"1.145,-0.025,0"
"0.844,-0.045,0"
"0.863,-0.031,0"
"-0.721,-0.354,0"
"0.614,-0.1,0"
"0.858,-0.036,0"
"0.968,-0.036,0"
"-0.715,-0.355,0"
"-0.721,-0.354,0"
"0.618,-0.099,0"
"1.073,-0.016,0"
"0.915,-0.041,0"
"-0.718,-0.356,0"
"0.901,-0.023,0"
"1.03,-0.0,0"
"0.794,-0.056,0"
"-0.718,-0.356,0"
"0.981,-0.063,0"
"0.832,-0.041,0"
"1.14,0.019,0"
"-0.716,-0.355,0"
"1.119,0.015,0"
"0.709,-0.078,0"
"0.666,0.96,1"
